GARE;CODE_DEP;CODE_INSEE;CODE_UIC;CODE_POSTAL;LONG;LAT; NB_VOY_2022 ; NB_VOY_2021 ; NB_VOY_2020 ; NB_VOY_2019 ; NB_VOY_2018 ; NB_VOY_2017 ; NB_VOY_2016 ; NB_VOY_2015 ;POP_2023;POP_2019;POP_2013;NB_FOYER_2020;NB_FOYER_2020_REV_0_10000;NB_FOYER_2020_REV_10000_12000;NB_FOYER_2020_REV_12001_15000;NB_FOYER_2020_REV_15001_20000;NB_FOYER_2020_REV_20001_30000;NB_FOYER_2020_REV_30001_50000;NB_FOYER_2020_REV_50001_100000;NB_FOYER_2020_REV_PLUS_100001;REV_MED_2020;PIMP_2020;TP_2020;LOG_2019;RP_2019;RS_2019;LOGVAC_2019;EMPLT_2019;EMPLT_2013;POP_1564_2019;CHOMEUR_1564_2019;POP_ACT_1564_2019;SUPERF;NB_TRANS_2017;NB_TRANS_2018;NB_TRANS_2019;NB_TRANS_2020;NB_TRANS_2021;NB_TRANS_2022;PXMED_2017;PXMED_2018;PXMED_2019;PXMED_2020;PXMED_2021;PXMED_2022;DepT TN_2017;DepT TN_2018;DepT TN_2019;DepT TN_2020;DepT TN_2021;DepT TN_2022;DepT TGV_2017;DepT TGV_2018;DepT TGV_2019;DepT TGV_2020;DepT TGV_2021;DepT TGV_2022;DepT TER_2017;DepT TER_2018;DepT TER_2019;DepT TER_2020;DepT TER_2021;DepT TER_2022;DepT INTERCITES_2017;DepT INTERCITES_2018;DepT INTERCITES_2019;DepT INTERCITES_2020;DepT INTERCITES_2021;DepT INTERCITES_2022
Yvetot;76;76758;87413385;76190;0.750115;49.622035; 1 039 150 ; 787 592 ; 687 572 ; 997 167 ; 902 928 ; 920 117 ; 909 234 ; 934 997 ;11485;11448;11849;7 486;1 939;484;708;1 362;1 335;1 043;535;80;21030;41;15;6407.43016298431;5804.88869449865;59.1464973128107;543.394971172848;6591.77290951761;6408.45734098455;6749.96515774103;686.012832730495;4990.65375278825;7.47;37;62;106;113;69;23;1809;1756;1700;1804;2042;2038;0;0;0;0;0;0;2;2;2;0;2;0;8711;8223;8309;11332;14452;15924;8130;7347;7785;0;0;0
Fontainebleau - Avon;77;77014;87682211;77210;2.726340;48.416371; -   ; 5 827 647 ; 1 999 331 ; 3 867 663 ; 3 985 604 ; 4 105 860 ; 4 145 407 ; 4 182 635 ;13763;13419;13761;8 608;1 559;391;584;1 325;1 958;1 640;955;196;23840;61;14;7740.34822543042;6647.90537810973;226.511810047065;865.931037273628;3891.03155693617;3790.80130170287;8271.77417521696;835.310170618554;6387.96122347156;3.83;56;102;115;98;64;13;2315;1838;2063;2189;2701;3556;21560;20676;21158;20149;22326;22640;0;0;0;0;0;0;6245;6098;6177;4866;5415;5564;0;0;0;0;0;0
Bagneaux-sur-Loing;77;77016;87684191;77167;2.7033327;48.2304802; -   ; 28 521 ; 13 759 ; 29 663 ; 57 849 ; 114 246 ; 223 786 ; 439 600 ;1621;1623;1690;966;NA;NA;NA;NA;NA;NA;NA;NA;21360;NA;NA;785;721;19;45;685.785521303882;857.627283944845;1044;143;805;5.26;2;2;4;5;4;5;1343;1977;2146;1833;1376;1658;11841;11870;12114;10734;12208;12050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bois-le-Roi;77;77037;87682203;77590;2.691606;48.475567; -   ; 927 606 ; 553 575 ; 1 169 555 ; 1 208 919 ; 1 249 808 ; 1 268 641 ; 1 287 788 ;6080;5913;5617;3 202;342;85;140;312;487;685;859;292;32440;78;5;2730.64885565737;2375.24951766369;188.869362476644;166.529975517041;1470.97104656838;1355.09988778223;3758.72976637767;233.407203590205;2876.19107829335;6.91;11;13;22;27;21;7;3400;3404;3487;3455;3966;4133;21391;20672;21158;19803;21923;22196;0;0;0;0;0;0;6245;6089;6177;4866;5414;5564;0;0;0;0;0;0
Boissise-le-Roi;77;77040;87682518;77310;2.572953;48.529319;#N/A; 89 893 ; 68 921 ; 129 195 ; 129 907 ; 132 082 ; 131 326 ; 130 124 ;3754;3739;3776;1 959;227;64;110;232;322;486;449;69;28910;74;NA;1449.03156036595;1370.03156036595;21;58;682.634135269908;572.143278347902;2099.36325225569;130.385078166354;1597.37564624825;7.09;8;23;16;23;19;4;2236;2773;2548;2724;2950;3553;21064;17829;18813;15009;15900;19329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bourron-Marlotte - Grez;77;77048;87684118;77780;2.6924552;48.3326884; -   ; 155 144 ; 83 212 ; 151 614 ; 138 473 ; 127 852 ; 114 171 ; 103 948 ;2854;2763;2690;1 647;250;54;91;211;276;335;293;137;28440;68;NA;1425.51433602285;1182.26660766321;149.537537926006;93.7101904336305;626.821172968848;614.276737137195;1623.95285894951;96.9398655480406;1231.23672978138;11.26;4;10;10;11;8;4;2729;2910;2880;3007;3471;2779;11841;11870;12114;10744;12207;12078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cesson;77;77067;87682161;77240;2.59380;48.56563; -   ; 1 220 134 ; 826 308 ; 2 087 642 ; 2 141 123 ; 2 215 556 ; 2 243 095 ; 2 259 694 ;11069;10833;9568;5 677;752;192;325;682;1 083;1 407;1 130;106;26440;68;7;4356;4168;59;129;3010.14446924978;2924.99721027187;6777;461;5305;6.98;70;113;104;111;106;32;2576;2641;2842;2825;2947;2787;49560;44414;44181;37715;43575;46184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Champagne-sur-Seine;77;77079;87682450;77430;2.799184;48.406531; -   ; 415 355 ; 237 145 ; 518 423 ; 505 753 ; 497 079 ; 478 155 ; 457 828 ;6504;6353;6289;3 822;1 057;211;328;664;712;600;224;26;20610;47;16;3093;2767;55;271;1093.31092245869;1206.34170899513;4141;459;2943;7.28;14;24;27;37;31;6;2308;2221;2263;2171;2200;2094;14052;11958;13244;10441;13221;13654;0;0;0;0;0;0;1479;1370;1418;1133;1469;1756;0;0;0;0;0;0
Changis - Saint-Jean;77;77084;87116509;77660;3.025394;48.959360; -   ; 209 345 ; 116 332 ; 302 651 ; 308 219 ; 317 021 ; 318 892 ; 318 992 ;1384;1349;1107;655;NA;NA;NA;NA;NA;NA;NA;NA;25680;NA;NA;522.815428417713;476.196197648483;20.2692307692308;26.35;86.8701453763565;128.556635211928;883.998623300534;58.4333607830384;677.692981716856;6.98;1;3;9;4;5;1;2563;3056;2277;2287;2455;3322;14436;13530;12978;12068;14237;13457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chartrettes;77;77096;87682419;77590;2.6950059;48.4870771; -   ; 58 961 ; 24 561 ; 53 428 ; 51 957 ; 50 979 ; 48 843 ; 46 822 ;2598;2543;2602;1 425;154;29;75;144;261;343;322;97;30220;76;NA;1180.9485365668;1045.61215782926;60.1495016611296;75.186877076412;541.941915733095;589.679366708719;1559.03771010778;104.944920452701;1215.14909283018;10.1;7;11;19;19;25;5;2681;3393;2722;3467;3247;4272;14052;11958;13243;10443;12865;13672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
